upaydba,upaydbb,upayappa,upayappb,upayappc,upayappd,upaydbc,upaydbd,upayappe,upayappf,upaydbe,upaydbf,upayappg,upayapph,upaychecka,upaycheckb,upaycheckc,upaycheckd,upaychecke,upaycheckf,upaycheckg,upaycheckh,upaybaka,upaybakb,cmszyunwei,up0005a,up0005b,up0004a,up0004b,upaybanka,upaybankb,upaygatea,upaygateb,upaygatec,upaygated,upaygatee,upaygatef,upaygateg,upaygateh,upaygatei,upaygatej,upaybossa,upaybossb,upaybossc,upaybossd,upaybosse,upaybossf,upaybossg,upaybossh,upaybossi,upaybossj,upaybossk,upaybossl,upaybossm,upaybossn,upaytma,upaytmb,upaytmc,upaytmd,upaytme,upaytmf,upaytmg,upaytmh,upaysca,upayscb,upayscc,upayscd,upaysce,upayscf,upaymca,upaymcb,upaysea,upayseb,upaytaska,upaytaskb,upaytaskc,upaytaskd,upaytaske,upaytaskf,upaytaskg,upaytaskh,upaytaski,upaytaskj,upayfilea,upayfileb,upayhadoopa,upayhadoopb,upayhadoopc,upayhadoopd,upayhadoope,upayhadoopf,upayhadoopg,upayhadooph,upayhadoopi,upayhadoopj,upayhadoopk,upayhadoopl,upayhadoopm,upayhadoopn,upayhadoopo,upayfilec,upayfiled,upaycaa,upaycab,upaytsa,upaytsb,upaymwa,upaymwb,nj-e09-payprod-redis01,nj-e09-drtmall-activemq01,nj-e09-drtmall-activemq02,nj-e09-drtmall-activemq03,nj-e09-drtmall-activemq04,nj-e09-payprod-redis02,nj-e09-payprod-redis03,nj-e09-hnpay-core01,nj-e10-hnpay-core02,nj-e10-hnpay-core03,nj-e10-hnpay-core04,nj-e10-hnpay-core05,nj-e10-hnpay-core06,nj-e10-hnpay-redis01,nj-e10-hnpay-redis02,nj-e10-payprod-commonparam01,nj-j05-payprod-paycore02,nj-j05-payprod-paycore03,nj-j05-payprod-paycore04,nj-j05-payprod-chargecore01,nj-j05-payprod-chargecore02,nj-j05-payprod-chargecore03,nj-j05-payprod-chargecore04,nj-c04-hnpay-filecore03,nj-c04-hnpay-filecore04,nj-c04-drtmall-zookeeper01,nj-c04-drtmall-displayplatform02,nj-c04-payprod-paycore01,nj-g14-payprod-commonparam02,nj-g14-hnpay-redis03,nj-g14-hnpay-dispatcher01,nj-g14-hnpay-clearing01,nj-g14-hnpay-clearing02,nj-g14-hnpay-clearing03,nj-g14-hnpay-filecore01,nj-g14-hnpay-filecore02,nj-a09-payprod-h5cashier01,nj-a09-payprod-h5cashier02,nj-a09-payprod-h5cashier03,nj-a09-payprod-h5cashier04,nj-a09-payprod-payfront01,nj-a09-payprod-payfront02,nj-a09-payprod-payfront03,nj-a09-payprod-payfront04,nj-a10-payprod-merchantfront01,nj-a10-payprod-merchantfront02,nj-a10-payprod-merchantfront03,nj-a10-payprod-merchantfront04,nj-a10-payprod-paycharge01,nj-a10-payprod-paycharge02,nj-a10-payprod-paycharge03,nj-a10-payprod-paycharge04,nj-a10-payprod-nginx,nj-a11-drtmall-crmfront01,nj-a11-drtmall-crmfront02,nj-a11-hnpay-crmfront01,nj-a11-hnpay-crmfront02,nj-a11-hnpay-crmfront03,nj-a11-hnpay-crmfront04,nj-a11-payprod-crmfront01,nj-a11-payprod-crmfront02,nj-a11-payprod-crmfront03,nj-a11-payprod-crmfront04,nj-a11-yjpayprod-crmfront01,nj-a11-yjpayprod-crmfront02,nj-a11-hnpay-crmfront05,nj-a11-hnpay-crmfront06,nj-a11-hnpay-crmfront07,nj-a11-hnpay-crmfront08,nj-b04-drtmall-tmallfront01,nj-b04-drtmall-tmallfront02,nj-b04-drtmall-tmallfront03,nj-b04-drtmall-tmallfront04,nj-b04-hnpay-front01,nj-b04-hnpay-front02,nj-b04-hnpay-front03,nj-b04-hnpay-front04,nj-b04-hnpay-front05,nj-c03-hnpay-front06,nj-c03-hnpay-front07,nj-c03-hnpay-front08,nj-c03-payprod-chargefront01,nj-c03-payprod-chargefront02,nj-c03-payprod-chargefront03,nj-c03-payprod-chargefront04,nj-c03-upay-yunwei01,nj-c03-upay-yunwei02,upaydbg,upaydbh,upaydbi,upaydbj,upaydbk,upaydbl,upaydbm,upaydbn
172.16.59.1,172.16.59.2,172.16.59.4,172.16.59.5,172.16.59.6,172.16.59.7,172.16.59.27,172.16.59.28,172.16.59.25,172.16.59.26,172.16.59.32,172.16.59.33,172.16.59.37,172.16.59.38,172.16.59.9,172.16.59.10,172.16.59.11,172.16.59.12,172.16.59.40,172.16.59.41,172.16.59.42,172.16.59.43,172.16.59.20,172.16.59.21,172.16.59.23,172.16.59.65,172.16.59.66,172.16.59.68,172.16.59.69,172.16.59.71,172.16.59.72,172.16.59.129,172.16.59.130,172.16.59.132,172.16.59.133,172.16.59.131,172.16.59.134,172.16.59.135,172.16.59.136,172.16.59.137,172.16.59.138,172.16.59.161,172.16.59.162,172.16.59.164,172.16.59.165,172.16.59.171,172.16.59.172,172.16.59.173,172.16.59.174,172.16.59.175,172.16.59.176,172.16.59.182,172.16.59.183,172.16.59.184,172.16.59.185,172.16.59.225,172.16.59.226,172.16.59.228,172.16.59.229,172.16.59.242,172.16.59.243,172.16.59.237,172.16.59.238,172.16.59.239,172.16.59.240,172.16.59.245,172.16.59.246,172.16.59.247,172.16.59.248,172.16.59.227,172.16.59.252,172.16.89.101,172.16.89.108,172.16.89.103,172.16.89.109,172.16.89.110,172.16.89.111,172.16.89.112,172.16.89.113,172.16.89.114,172.16.89.115,172.16.89.116,172.16.89.117,172.16.89.126,172.16.89.70,172.16.89.120,172.16.89.123,172.16.89.102,172.16.89.118,172.16.89.119,172.16.89.99,172.16.89.100,172.16.89.104,172.16.89.105,172.16.89.106,172.16.89.107,172.16.89.122,172.16.89.121,172.16.89.124,172.16.89.125,172.16.89.92,172.16.89.91,172.16.89.94,172.16.89.93,172.16.89.96,172.16.89.95,172.16.89.98,172.16.89.97,172.16.32.214,172.16.32.215,172.16.32.216,172.16.32.217,172.16.32.218,172.16.32.219,172.16.32.220,172.16.32.221,172.16.32.222,172.16.32.223,172.16.32.224,172.16.32.225,172.16.32.226,172.16.32.227,172.16.32.228,172.16.32.229,172.16.32.246,172.16.32.247,172.16.32.248,172.16.32.249,172.16.32.250,172.16.32.251,172.16.32.252,172.16.32.238,172.16.32.239,172.16.32.240,172.16.32.244,172.16.32.245,172.16.32.230,172.16.32.231,172.16.32.232,172.16.32.233,172.16.32.234,172.16.32.235,172.16.32.236,172.16.32.237,172.16.32.11,172.16.32.12,172.16.32.13,172.16.32.14,172.16.32.15,172.16.32.16,172.16.32.17,172.16.32.18,172.16.32.19,172.16.32.20,172.16.32.21,172.16.32.22,172.16.32.23,172.16.32.24,172.16.32.25,172.16.32.26,172.16.32.27,172.16.32.43,172.16.32.44,172.16.32.45,172.16.32.46,172.16.32.47,172.16.32.48,172.16.32.49,172.16.32.50,172.16.32.51,172.16.32.52,172.16.32.53,172.16.32.54,172.16.32.55,172.16.32.56,172.16.32.57,172.16.32.58,172.16.32.75,172.16.32.76,172.16.32.77,172.16.32.78,172.16.32.79,172.16.32.80,172.16.32.81,172.16.32.82,172.16.32.83,172.16.32.84,172.16.32.85,172.16.32.86,172.16.32.87,172.16.32.88,172.16.32.89,172.16.32.90,172.16.32.91,172.16.32.92,172.16.32.200,172.16.32.201,172.16.32.202,172.16.32.203,172.16.32.209,172.16.32.210,172.16.32.211,172.16.32.212
root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0
daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1,daemon 1
bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2,bin 2
sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3,sys 3
adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4,adm 4
uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5,uucp 5
guest 100,guest 100,guest 100,guest 100,guest 100,guest 100,guest 100,guest 100,guest 100,guest 100,nobody -2,nobody -2,lp 9,nobody -2,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,lp 9,lp 9,lp 9,lp 9,lp 9,lp 9,lp 9,lp 9
nobody 4294967294,nobody 4294967294,nobody 4294967294,nobody 4294967294,nobody 4294967294,nobody 4294967294,nobody 4294967294,nobody 4294967294,nobody 4294967294,nobody 4294967294,cimsrvr 101,cimsrvr 101,nuucp 11,cimsrvr 101,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,nuucp 11,nuucp 11,nuucp 11,nuucp 11,nuucp 11,nuucp 11,nuucp 11,nuucp 11
lpd 9,lpd 9,lpd 9,lpd 9,lpd 9,lpd 9,lpd 9,lpd 9,lpd 9,lpd 9,smbnull 102,smbnull 102,hpdb 27,smbnull 102,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,hpdb 27,hpdb 27,hpdb 27,hpdb 27,hpdb 27,hpdb 27,hpdb 27,hpdb 27
