vces5,vces6,carddb1,carddb2,profiledmza,auditvces2,auditvces3,profiledmzb,auditvces7,auditvces8,auditvces9,auditvces10,auditvces11,auditvces12,auditvces13,auditvces14,auditvces15,auditvces16,profilesea,profilec,profiletaska,profiletaskb,profilea,profileb,profilec,upaytmyj1,upaytmyj2,upaytmyj3,upaytmyj4,upaytmyj5,profiledmzd
192.168.88.15,192.168.88.16,192.168.88.50,192.168.88.51,192.168.88.1,192.168.88.2,192.168.88.3,192.168.88.4,192.168.88.7,192.168.88.8,192.168.88.9,192.168.88.10,192.168.88.11,192.168.88.12,192.168.88.13,192.168.88.14,192.168.88.15,192.168.88.16,192.168.88.17,192.168.88.22,192.168.88.18,192.168.88.19,192.168.88.20,192.168.88.21,192.168.88.22,192.168.88.23,192.168.88.24,192.168.88.25,192.168.88.26,192.168.88.27,192.168.88.28
root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0
bin 1,bin 1,daemon 1,daemon 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1
daemon 2,daemon 2,bin 2,bin 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2
adm 3,adm 3,sys 3,sys 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3
lp 4,lp 4,adm 4,adm 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4
sync 5,sync 5,uucp 5,uucp 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5
shutdown 6,shutdown 6,lp 9,lp 9,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6
halt 7,halt 7,nuucp 11,nuucp 11,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7
mail 8,mail 8,hpdb 27,hpdb 27,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8
uucp 10,uucp 10,nobody -2,nobody -2,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10
operator 11,operator 11,www 30,www 30,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11
games 12,games 12,cimsrvr 101,cimsrvr 101,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12
gopher 13,gopher 13,smbnull 102,smbnull 102,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13
ftp 14,ftp 14,opc_op 777,opc_op 777,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14
nobody 99,nobody 99,tftp 103,tftp 103,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99
dbus 81,dbus 81,hpsmh 104,hpsmh 104,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81
